reviewId,content
b9b2eb8a-a8d1-4ec8-987d-506d29e51766,mantap GK harus ribet dtng ke kantor nya walaupun beda harga cukup nunggu di rmh terimakasih
e939ce8b-ae92-44c6-a13b-64be6e91a8db,"gabisa buat akun gara2 foto di ktp botak, sekarang ngga, dibilang foto tidak sesuai masa mau login harus dibotak dulu biar sama kaya diktp 😭"
588b66f0-4488-4c6a-b2f0-ef8f8e0d4cbc,dokumen cepat dan aman
66f721a1-4923-4fd5-88f2-a9ad8a625ad8,mantap cepat mudah
36cf9ca1-0195-4e8f-b615-8e2c807c0b41,"mudah, cepat dan aman, saya sudah sering menggunakan aplikasi ini. Peningkatan digitalisasi dari Polri. Tetapi ada penurunan pelayanan dulu ada bonus plastik STNK sekarang tidak ada"
3d93d512-404e-47e7-b999-9bb93c19510a,saya sudah buat akun kenapa aplikasi tidak bisa dipakai.mau cek pajak kendaraan belum tersedia mau bayar belum tersedia
d1d2d2f2-2d73-488c-aefb-985528c9f3ce,mohon perbaiki kebijakannya. kalo kita beli motor bekas kita gak bisa bayar pajak. harus pake akun/data pemilik pertama gak bisa masukin kendaraan pd aplikasi kita. pdahal kita mau bayar pajak ... harus punya ktp pemilik pertama mohon perbaiki kita mau taat pajak malah susah
f938bb7b-2c7d-4785-8c0f-a87772dae707,Sangat membantu dan memudahkan dalam membayarkan pajak kendaraan
0ac15979-b7d3-4972-a311-149957609cf4,"mau bayar gagal mlu, aplikasi sekelas negara payah amat!"
45a2a91d-bc28-436c-815c-6a0eb57d5766,"aplikasi nya jelek banget, mau bayar g bisa...pokoknya berhubungan dengan polisi g ada yg bener deh"
047eccf7-b63f-4c0d-85af-2de40ca4e3bc,aplikasi buruk. saya cek informasi kendaraan berhasil namun saat ingin membayar pajak kendaraan selalu gagal. padahal harapannya dapt mempermudah tapi tidak berhasil.
f70fe6cb-929a-40ce-b2ac-2c98f1f821c3,"Aplikasi yang sangat membantu sekali untuk perpanjangan surat kendaraan bermotor. Lokasi saya di Bekasi sedangkan plat motor saya di Jogja, Alhamdulillah proses cepet langsung dikirim, 3 hari sudah sampai di Bekasi. Semoga di pembayaran2 selanjutnya tetap lancar."
4a70673d-fafd-4b7c-935b-9fde736ad758,Sangat mudah dah praktis bisa dari rumah
8ed26c18-525c-491b-985d-40cd38bafe08,mantap pokoknya
5aeabf4d-433e-4da4-82b4-2d6094b7a49a,"alhamdulillah banget jadi lebih mudah pakai aplikasi signal... lumayan kalau harus mondar-mandir urus pajak sekarang kebantu banget, cukup bayar pengiriman langsung keterima STNK dirumah... semoga yang ngebuat, ngebantu lancarnya aplikasi ini dimudahkan juga ya oleh Allah, semangat terus semoga lebih baik lagi"
6a2481d8-3868-421a-bdfe-b3358134791b,jos
d293829c-d713-4593-9896-0af1d40b2b1d,pembayaran pajak simpel dan di antar ke rumah. jadi tidak perlu antri. bintang 10 lah pokoknya coyyy
08f3fa28-5966-4e88-8df0-9afb8cc92eb7,sangat memudahkan utk perpanjang STNK & bayar pajak tahunan tanpa hrs antri di Samsat. Trmksh SIGNAL
a1650ec5-3f37-4edd-b1c1-23809ccfd0c8,Mantaappp... 👍👍👍 Tidak perlu capek2 ke samsat..
1e029220-3d6e-4ac4-adcb-3ebda324bd39,sangat mempermudah masyarakat untuk membayar pajak . proses dan pengiriman juga sangat cpt hanya 3 hari
f090cf5c-1af8-4132-8744-e5fe81605aa3,"apaan, muncul nomor pembayaran tapi gak bisa dibayar. udah nyoba ke indomaret, lewat m-banking, lewat dompet digital (dana) tetep aja gak bisa di bayar. huu jadi lewat jatuh tempo"
d7eca1da-cc73-4aca-8083-c12b3e6af823,sangat membantu utk yg di luar kota
2a450919-04a0-4643-98f1-cf5e77814a39,pelayanan signal Samsat sangat cepat
00e163ed-fcec-4eb1-bdf1-1a92a5fa2dd2,"sangat membantu sih buat yang ga sempet perpanjang ke samsat, walaupun pemrosesan berkasnya agak lama tapi tetap sampai rumah, good job lah semoga semakin ditingkatkan"
0a95050f-0ad7-4afd-b882-2faf5e7adc9b,Sangat membantu dan mempermudah dalam transaksi
0e62154b-50b9-4d44-a478-a5cbc52f3f13,"Alhmdulillah sangat membantu, Jdi GK prlu repot2 LG ke kantor buat bayar pajak, cukup kitik2 Hp barangpun sampe, Signal👍"
8b407c8b-54f4-4f08-b9ab-19d69a8ce3ac,lumayan lah ga perlu pulang kampung buat perpanjang stnk
ca899ce2-7dc4-4532-87fb-43d3baf3248c,"aplikasi ga jelas,,, gagal mulu buat verifikasi"
58df5bbb-9971-4d7e-9745-83b6fff50366,"pelayanan nya siiiip, terima kasih"
c880a066-829f-4806-824d-3583875e1e67,proses cepat & pengiriman cepat
d585b32b-53fc-4cb8-bcef-ff1fddba3a37,"pembayaran mudah tapi harus sangat mepet dengan tanggal jatuh tempo, klo ga mepet ga akan bisa bayar online. pengiriman lama, surat yang diterima sedikit basah, tolong diperhatikan lagi packing surat nya agar aman dan tidak rusak. terimakasih."
a9145805-d4a6-4286-b77c-5739351344ea,Sangan Efisien waktu~
6fd0cde8-9d65-4db8-80a0-3d4467d16198,sangat membantu
000d5fc8-76ae-400e-863c-bbd0599d9cf2,pelayanan memuaskan..
b1edfede-9bff-41bd-823d-65513e07c06f,mantap
df938905-af0d-4eb0-b064-e15c65f9aad5,"mantep, proses pengiriman 2 minggu yang penting nyampe"
c32a8c90-5211-4307-9763-76191741774c,GK guna
e32f29c5-82d2-4ef2-b063-76ccda7b6444,"bagus ...aplikasi ini memudahkan bagi saya seorang pekerja yang kadang butuh waktu untuk ke Samsat , dengan aplikasi ini di mudahkan.. Terimakasih 🙏"
56dc9d81-278b-4efa-bd8c-40b9df2856ea,aplikasi taikk tidak bisa vermuk katanya beda dengan yang di ktp jelas beda di ktp waktu kurus krempeng sekarang gemuk
98d0932e-0b27-4c16-9e7f-02d192b8c934,cepat dan praktis
b277626d-5b29-4a7e-8b1b-806198fa85dc,"bagus, sangat membantu"
7626d801-fda9-4a9b-82e2-c51e385bbe18,mantab. aplikasi nya keren ini..udh ngebantu banget buat kita yg gk sempat dtg langsung ke samsat. pengiriman reguler sesuai estimasi..rekomended
dacd765b-bfd7-4c9a-9ddf-c31528cf62ce,verifikasi muka lama kebanyakan buzzer yang rating 5
22baed88-bbb5-4ca9-9a9c-ca13fcd87c07,"emak2 punya baby, lumayan kebantu dgn aplikasi ini 👍"
7e46d957-5336-45af-83db-a2f4bb7c6f73,Tahun lalu pengiriman hampir sebulan.tp tahun ini cm 2 hari ud sampai..keren..terima kasih SIGNAL..
dc05c4da-98ff-40b9-b7e2-56cd4fe975d4,"semoga saja aplikasi ini selalu menjadi baik, agar memudahkan banyak pemilik kendaraan bermotor. mengingat di setiap kantor Samsat banyak orang cerdik dan licik yang memanfaatkan ketidaktahuan pemilik kendaraan atas Pajak dan lain lain"
b3fcb115-6749-48ec-9eec-e432c6db90cb,sangat membantu
29859a9c-13c2-4a8c-b55a-3edf12996be6,"Ga bisa digunakan kode bayarnya, ke semua jenis apk mobile pembayaran maupun ATM. tolong diperbaiki sistemnya"
746660be-2902-4a74-983a-e3855de7b854,"ah payah,masa pas ada pembaruan malah g bs,payaaaaahhhh"
f71953a2-8562-4f1c-b297-d9db466e1183,aplikasi error tidak bisa buat daftar kendaraan
90bb2a2e-2f64-4bf4-a718-433f135f8808,"sangat mudah digunakan dan memudahkan proses perpanjangan pajak tahunan... lebih baik lagi jika pembayaran pajak tahunan bisa dilakukan tanpa nik, pasti akan lebih banyak lagi yang bayar pajak tahunan.. terima kasih"
cfae861e-9ec7-4ecc-bfec-53a608b1740a,keren
7894effd-cb32-41f4-8ed1-04a5ed62c228,"udah ketebak pasti di persulit, polis indo indo😂💘, masa foto wajah sama di ktp kaga sama padahal foto gw kaga ngeblur"
32677347-0075-4c49-bd44-e8c3bf71f7ba,Alhamdulillah sudah datang stnk pajak nya.. sukses terus signal samsat biar mempermudah cara bayar pajak dari rumah.. trimakasih
27c27d85-74b3-4c64-beeb-8192d376003a,"bahus, pelayanan cepat"
