review_text,label
mantap enggak harus ribet dtng ke kantor nya walaupun beda harga cukup menunggu di rumah terima kasih,Negatif
enggak bisa buat akun gara foto di ktp botak sekarang enggak dibilang foto tidak sesai masa mau login harus dibotak dulu biar sama kayak diktp,Negatif
dokumen cepat dan aman,Positif
mantap cepat mudah,Positif
mudah cepat dan aman saya sudah sering menggunakan aplikasi ini peningkatan digitalisasi dari polri tetapi ada penurunan pelayanan dulu ada bonus plastik stnk sekarang tidak ada,Positif
saya sudah buat akun kenapa aplikasi tidak bisa dipakai mau cek pajak kendaraan belum tersedia mau bayar belum tersedia,Negatif
mohon perbaiki kebijakannya kalo kita beli motor bekas kita enggak bisa bayar pajak harus pakai akun data pemilik pertama enggak bisa memasuki kendaraan pada aplikasi kita padahal kita mau bayar pajak harus punya ktp pemilik pertama mohon perbaiki kita mau taat pajak malah susah,Negatif
sangat membantu dan memudahkan dalam membayarkan pajak kendaraan,Positif
mau bayar gagal melulu aplikasi sekelas negara payah amat,Negatif
aplikasi nya jelek banget mau bayar enggak bisa pokoknya berhubungan dengan polisi enggak ada yang benar deh,Negatif
aplikasi buruk saya cek informasi kendaraan berhasil namun saat ingin membayar pajak kendaraan selalu gagal padahal harapannya dapt mempermudah tapi tidak berhasil,Negatif
aplikasi yang sangat membantu sekal untuk perpanjangan surat kendaraan bermotor lokasi saya di bekasi sedangkan plat motor saya di jogja alhamdulillah proses cepat langsung dikirim hari sudah sampai di bekasi semoga di pembayaran selanjutnya tetap lancar,Positif
sangat mudah deh praktis bisa dari rumah,Positif
mantap pokoknya,Positif
alhamdulillah banget jadi lebih mudah pakai aplikasi signal lumayan kalau harus modar mandir urus pajak sekarang kebantu banget cukup bayar pengiriman langsung keterima stnk dirumah semoga yang ngebut membantu lancarnya aplikasi ini dimudahkan juga ya oleh allah semangat terus semoga lebih baik lagi,Positif
jos,Netral
pembayaran pajak simpel dan di antar ke rumah jadi tidak perlu antri bintang lah pokoknya coyy,Netral
sangat memudahkan untuk perpanjang stnk bayar pajak tahunan tanpa harus antri di samsat trmksh signal,Netral
mantaapp tidak perlu capek ke samsat,Netral
sangat mempermudah masyarakat untuk membayar pajak proses dan pengiriman juga sangat cepat hanya hari,Positif
apaan muncul nomor pembayaran tapi enggak bisa dibayar sudah mencoba ke indomaret lewat sama bangking lewat dompet digital dana tetap saja enggak bisa di bayar huu jadi lewat jatuh tempo,Negatif
sangat membantu untuk yang di luar kota,Positif
pelayanan signal samsat sangat cepat,Positif
sangat membantu sih buat yang enggak sempat perpanjang ke samsat walaupun pemrosesan berkasnya agak lama tapi tetap sampai rumah good job lah semoga semakin ditingkatkan,Positif
sangat membantu dan mempermudah dalam transaksi,Positif
alhamdulillah sangat membantu jadi enggak perlu repot lagi ke kantor buat bayar pajak cukup kitik hp barangpun sampai signal,Positif
